count(a.movieId),b.tag,max(b.relevance)
2,fairy tales,0.97875
2,farce,0.94475
2,father son relationship,0.98175
2,feel good movie,0.97625
2,food,0.94225
2,foul language,0.95275
2,funniest movies,0.988
2,funny,0.97775
2,genius,0.97175
2,gilliam,0.96975
2,great dialogue,0.96975
2,guns,0.95025
2,gypsy accent,1
2,heroin,0.9775
2,holiday,0.995
2,honest,0.929
2,hotel,0.9285
2,humanity,0.92225
2,imaginary friend,0.959
2,independent film,0.972
2,indiana jones,0.99475
2,inspiring,0.94275
2,islam,0.962
2,jane austen,0.96975
2,jazz,0.9995
2,jewish,0.93925
2,jungle,0.91475
2,kidnapping,0.96025
2,kids,0.95525
2,kids and family,0.9515
2,literary adaptation,0.9335
2,literature,0.9295
2,los angeles,0.97
2,lyrical,0.933
2,man versus machine,0.94575
2,marx brothers,0.9785
2,medieval,0.9595
2,memory,0.98625
2,memory loss,0.97725
2,mistaken identity,0.95825
2,musical,0.9425
2,nocturnal,0.937
2,nudity (full frontal - brief),0.98675
2,ominous,0.9505
2,paranoid,0.9645
2,photography,0.93475
2,plot,0.91675
2,political corruption,0.98775
2,president,0.98275
2,psychiatry,0.94575
2,racing,0.9965
2,rebellion,0.91225
2,revenge,0.96275
2,revolution,0.974
2,rio de janeiro,0.98125
2,robbery,0.941
2,robot,0.99125
2,robots,0.98675
2,rock and roll,0.99675
2,sarcasm,0.95975
2,scotland,0.97225
2,sexual abuse,0.9775
2,sexualized violence,0.972
2,shakespeare,0.99675
2,single father,0.99575
2,slow paced,0.9315
2,snakes,0.94625
2,solitude,0.93825
2,space program,1
2,spaghetti western,0.9485
2,spain,0.946
2,stop-motion,0.97575
2,super hero,0.99
2,super-hero,0.9345
2,superhero,0.97525
2,superheroes,0.942
2,surrealism,0.92525
2,sweet,0.966
2,tokyo,0.98525
2,train,0.96775
2,treasure,0.93825
2,vampire,0.993
2,vampires,0.9935
2,vietnam,0.9385
2,vigilante,0.98675
2,women,0.9825
2,world politics,0.9825
2,world war i,0.95875
1,18th century,0.98525
1,action packed,0.938
1,adaptation,0.9275
1,adoption,0.95225
1,afterlife,0.9315
1,alien invasion,0.901
1,almodovar,0.995
1,amnesia,0.96925
1,animal movie,0.95075
1,anti-hero,0.9365
1,argentina,0.98125
1,assassins,0.91775
1,australian,0.963
1,author:alan moore,0.99875
1,author:neil gaiman,0.99975
1,based on a comic,0.96175
1,betrayal,0.9265
1,biography,0.91625
1,boat,0.92525
1,book,0.92175
1,brazil,0.93925
1,brothers,0.953
1,bullying,0.96525
1,business,0.97975
1,california,0.907
1,cancer,0.9765
1,capitalism,0.949
1,carrie-anne moss,0.925
1,cartoon,0.90125
1,cathartic,0.9115
1,chess,0.96775
1,child abuse,0.93625
1,christianity,0.9085
1,christmas,0.999
1,classical music,0.9895
1,cloning,0.96725
1,college,0.948
1,colourful,0.9025
1,comic book,0.90375
1,coming-of-age,0.96075
1,communism,0.9465
1,conspiracy theory,0.9065
1,cross dressing,0.98175
1,culture clash,0.906
1,cyborgs,0.9035
1,dc comics,0.916
1,deadpan,0.9575
1,death penalty,0.937
1,depressing,0.92775
1,dog,0.9435
1,dogs,0.94225
1,dragons,0.99625
1,drinking,0.95
1,dysfunctional family,0.9705
1,east germany,0.996
1,eccentricity,0.9185
1,ecology,0.9135
1,eerie,0.925
1,effects,0.9465
1,egypt,0.95875
1,end of the world,0.94875
1,environment,0.90525
1,ethnic conflict,1
1,fake documentary,0.93625
1,fight scenes,0.9625
1,freedom,0.95575
1,fun movie,0.9115
1,funny as hell,0.965
1,ghosts,0.9555
1,ghosts/afterlife,1
1,giant robots,0.9355
1,good dialogue,0.90175
1,good music,0.91625
1,good sequel,0.90325
1,goofy,0.9365
1,great music,0.901
1,gritty,0.91525
1,gruesome,0.9205
1,guilt,0.941
1,hallucinatory,0.905
1,hannibal lecter,0.95975
1,harsh,0.9255
1,hollywood,0.9535
1,hong kong,0.9215
1,humor,0.98425
1,humorous,0.93825
1,idealism,0.98425
1,identity,0.902
1,india,0.96225
1,iran,0.977
1,irish accent,0.9135
1,irreverent,0.93625
1,isolation,0.9315
1,italian,0.9305
1,italy,0.9075
1,jesus,0.90675
1,journalism,0.98175
1,light,0.9225
1,london,0.9125
1,magic realism,0.97175
1,manipulation,0.93225
1,marriage,0.906
1,martial arts,0.9085
1,math,0.98325
1,mathematics,0.975
1,maze,0.93475
1,mental illness,0.93875
1,middle east,0.9635
1,midlife crisis,0.99475
1,mining,0.9625
1,minnesota,0.91625
1,mockumentary,0.9595
1,monty python,0.97925
1,moody,0.91375
1,moon,0.94825
1,mountain climbing,0.97575
1,mozart,0.9995
1,multiple storylines,0.94575
1,music business,0.95325
1,nature,0.90575
1,nuclear war,0.9735
1,off-beat comedy,0.9775
1,oil,0.91175
1,opera,0.9135
1,oscar (best writing - screenplay written directly for the screen),0.9415
1,parallel universe,0.91225
1,parenthood,0.94425
1,philosophy,0.915
1,photographer,0.914
1,psychiatrist,0.914
1,pulp,0.9045
1,quirky,0.9345
1,realistic,0.95
1,reality tv,0.9215
1,road movie,0.95
1,road trip,0.917
1,robert ludlum,0.98925
1,runaway,0.91625
1,sacrifice,0.921
1,sad,0.9165
1,san francisco,0.93275
1,science,0.9755
1,segregation,0.91725
1,sequel,0.9045
1,sexual,0.90525
1,short-term memory loss,0.99775
1,skinhead,0.96225
1,slavery,0.9745
1,southern theme,1
1,spies,0.94075
1,splatter,0.918
1,stage magic,0.997
1,submarine,0.9775
1,suburbia,0.949
1,supernatural,0.97575
1,suprisingly clever,1
1,swashbuckler,0.93725
1,talking animals,0.91825
1,teleportation,0.9265
1,television,0.9895
1,terminal illness,0.945
1,thought-provoking,0.91125
1,time travel,0.91275
1,too short,0.94225
1,toys,0.99875
1,trains,0.92725
1,transgender,0.9035
1,tricky,0.934
1,united nations,0.965
1,vienna,0.9875
1,vigilantism,0.975
1,virtual reality,0.98725
1,weapons,0.9445
1,whimsical,0.919
1,wilderness,0.97425
1,witch,0.95575
1,witty,0.91675
1,workplace,0.9055
1,writer's life,0.961
